ASV_ID,kingdom,phylum,class,order,family,genus,species,domain,species_raw,best_id,species_lab,occ_query_name,occ_n_records,occ_n_gbif,occ_n_obis,occ_min_distance_km,occ_nearest_lat,occ_nearest_lon,occ_in_study_area,occ_in_buffer,occ_assessment,occ_congeners_in_region,assigned_pct_identity,validation_flag,best_congener,best_congener_pct_identity,n_congeners_in_db,congeners_in_db,n_congeners_missing,congeners_missing,final_decision,decision_confidence,decision_reason,cleaned_species
ASV107,Eukaryota,Chordata,Actinopteri,Gadiformes,Lotidae,Molva,Molva dypterygia,Eukaryota,Molva dypterygia,Molva dypterygia,Molva dypterygia,Molva dypterygia,133,31,102,0,,,True,True,CONFIRMED,,100.0,CONFIDENT,Molva molva,96.5,3.0,Molva dypterygia; Molva macrophthalma; Molva molva,3.0,Molva dubia; Molva huntia; Molva palaeomorpha,KEEP,HIGH,Geographic CONFIRMED + sequence match (100.0%),Molva dypterygia
ASV108,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Ctenolabrus,Ctenolabrus rupestris,Eukaryota,Ctenolabrus rupestris,Ctenolabrus rupestris,Ctenolabrus rupestris 6,Ctenolabrus rupestris,688,113,575,0,,,True,True,CONFIRMED,,98.2,UNCERTAIN,,,1.0,Ctenolabrus rupestris,1.0,Ctenolabrus knoxi,DROP_TO_GENUS,LOW,Geographic CONFIRMED but missing congeners in DB - cannot validate,Ctenolabrus sp. cf. rupestris
ASV109,Eukaryota,Chordata,Actinopteri,Gobiiformes,Gobiidae,Gobiidae,Gobiidae,Eukaryota,,Gobiidae,Gobiidae 2,,,,,,,,,,,,,GENUS_ONLY_NO_REF,,,,,,,DROP_TO_GENUS,LOW,"Unhandled case: occ=None, db=GENUS_ONLY_NO_REF",
ASV110,Eukaryota,Chordata,Actinopteri,Perciformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,Eukaryota,Gasterosteus aculeatus,Gasterosteus aculeatus,Gasterosteus aculeatus 3,Gasterosteus aculeatus,1341,1335,6,0,,,True,True,CONFIRMED,,99.4,UNCERTAIN,Gasterosteus gymnurus,99.4,4.0,Gasterosteus aculeatus; Gasterosteus gymnurus; Gasterosteus nipponicus; Gasterosteus wheatlandi,21.0,Gasterosteus acanthias; Gasterosteus apeltes; Gasterosteus atherinus; Gasterosteus biaculeatus; Gasterosteus carolinensis; Gasterosteus columbarius; Gasterosteus crenobiontus; Gasterosteus glaber; Gasterosteus glaucus; Gasterosteus islandicus,DROP_TO_GENUS,LOW,Geographic CONFIRMED but missing congeners in DB - cannot validate,Gasterosteus sp. cf. aculeatus
ASV111,Eukaryota,Chordata,Actinopteri,Perciformes,Pholidae,Pholis,Pholis crassispina,Eukaryota,Pholis crassispina,Pholis crassispina,Pholis crassispina 1,Pholis crassispina,386,238,148,4982.431089372524,45.0823,-67.088083,False,False,DOUBTFUL,Centronotus islandicus; Gunnellus crassispina; Gunnellus ruberrimus; Gunnellus vulgaris; Pholis clemensi; Pholis fangi; Pholis fasciata; Pholis gunnellus; Pholis laeta; Pholis nea; Pholis nebulosa; Pholis ornata; Pholis picta; Pholis schultzi,99.4,UNCERTAIN,Pholis gunnellus,99.4,9.0,Pholis clemensi; Pholis crassispina; Pholis fangi; Pholis fasciata; Pholis gunnellus; Pholis laeta; Pholis nebulosa; Pholis ornata; Pholis picta,6.0,Centronotus islandicus; Gunnellus crassispina; Gunnellus ruberrimus; Gunnellus vulgaris; Pholis nea; Pholis schultzi,DROP_TO_GENUS,HIGH,4982km away; local congener(s) match equally - likely local species,
ASV112,Eukaryota,Chordata,Actinopteri,Perciformes,Pholidae,Pholis,Pholis,Eukaryota,,Pholis,Pholis 1,,,,,,,,,,,,0.0,GENUS_ONLY,Pholis gunnellus,99.4,9.0,Pholis clemensi; Pholis crassispina; Pholis fangi; Pholis fasciata; Pholis gunnellus; Pholis laeta; Pholis nebulosa; Pholis ornata; Pholis picta,0.0,,DROP_TO_GENUS,LOW,"Unhandled case: occ=None, db=GENUS_ONLY",
ASV113,Eukaryota,Chordata,Actinopteri,Syngnathiformes,Callionymidae,Callionymus,Callionymus lyra,Eukaryota,Callionymus lyra,Callionymus lyra,Callionymus lyra,Callionymus lyra,134,47,87,0,,,True,True,CONFIRMED,,100.0,CONFIDENT,Callionymus maculatus,91.6,18.0,Callionymus bairdi; Callionymus belcheri; Callionymus beniteguri; Callionymus enneactis; Callionymus formosanus; Callionymus guentheri; Callionymus hindsii; Callionymus izuensis; Callionymus japonicus; Callionymus koreanus,131.0,Callionymus aagilis; Callionymus acutirostris; Callionymus admirabilis; Callionymus affinis; Callionymus afilum; Callionymus africanus; Callionymus alisae; Callionymus altipinnis; Callionymus amboina; Callionymus annulatus,KEEP,HIGH,Geographic CONFIRMED + sequence match (100.0%),Callionymus lyra
ASV114,Eukaryota,Chordata,Actinopteri,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,Eukaryota,Anguilla anguilla,Anguilla anguilla,Anguilla anguilla 2,Anguilla anguilla,1277,1104,173,0,,,True,True,CONFIRMED,,99.4,NO_CONGENERS,,,0.0,,0.0,,KEEP,MEDIUM,"Geographic CONFIRMED, 99.4% match (monotypic/rare genus)",Anguilla anguilla
ASV115,Eukaryota,Chordata,Actinopteri,Perciformes,Stichaeidae,Stichaeidae,Stichaeidae,Eukaryota,,Stichaeidae,Stichaeidae,,,,,,,,,,,,,GENUS_ONLY_NO_REF,,,,,,,DROP_TO_GENUS,LOW,"Unhandled case: occ=None, db=GENUS_ONLY_NO_REF",
ASV116,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Eukaryota,Homo sapiens,Homo sapiens,Homo sapiens 3,Homo sapiens,3,3,0,0,,,True,True,CONFIRMED,,99.4,UNCERTAIN,Homo heidelbergensis,96.5,2.0,Homo heidelbergensis; Homo sapiens,26.0,Helacyton gartleri; Homo afer; Homo americanus; Homo antecessor; Homo asiaticus; Homo bodoensis; Homo cepranensis; Homo denisova; Homo erectus; Homo ergaster,DROP_TO_GENUS,LOW,Geographic CONFIRMED but missing congeners in DB - cannot validate,Homo sp. cf. sapiens
ASV117,Eukaryota,Chordata,Actinopteri,Gobiiformes,Gobiidae,Pomatoschistus,Pomatoschistus microps,Eukaryota,Pomatoschistus microps,Pomatoschistus microps,Pomatoschistus microps 1,Pomatoschistus microps,1,1,0,0,,,True,True,CONFIRMED,,100.0,CONFIDENT,Pomatoschistus knerii,96.5,8.0,Pomatoschistus knerii; Pomatoschistus lozanoi; Pomatoschistus marmoratus; Pomatoschistus microps; Pomatoschistus minutus; Pomatoschistus norvegicus; Pomatoschistus pictus; Pomatoschistus quagga,8.0,Pomatoschistus anatoliae; Pomatoschistus bacescui; Pomatoschistus bathi; Pomatoschistus bunyatovi; Pomatoschistus canestrinii; Pomatoschistus montenegrensis; Pomatoschistus nanus; Pomatoschistus tortonesei,KEEP,HIGH,Geographic CONFIRMED + sequence match (100.0%),Pomatoschistus microps
ASV118,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Eukaryota,Clupea pallasii,Clupea pallasii,Clupea pallasii 4,Clupea pallasii,6,6,0,799.967717003177,,,False,False,POSSIBLE,Clupea anomalura; Clupea arcuata; Clupea arezedi; Clupea beurardi; Clupea brevis; Clupea chinensis; Clupea chrysotaenia; Clupea curta; Clupea dentex; Clupea elongata; Clupea fimbriata; Clupea gasterostea; Clupea gigantea; Clupea guestfalica; Clupea hadleyi; Clupea harengus; Clupea ignota; Clupea inermis; Clupea inflata; Clupea laccia; Clupea longimana; Clupea macrocephala; Clupea macrochira; Clupea macropthalma; Clupea macroura; Clupea manulensis; Clupea marisalbi; Clupea megapteryx; Clupea melastoma; Clupea membras; Clupea montevideo; Clupea opisthopteryx; Clupea papalina; Clupea piltschardus; Clupea polyachanthina; Clupea rex; Clupea sardinites; Clupea saulos; Clupea scheuchseri; Clupea smaragdina; Clupea spec; Clupea sulcata; Clupea suworowi; Clupea tenuissima; Clupea testis; Clupea tiejei; Clupea tobarana; Clupea trigintaoctoradiata; Clupea trinacridis; Clupea ventricosa; Clupea verticalis; Clupea vigintiquiniradiata; Clupea vigintiradiata; Clupea vittargentea; Clupea vittata; Clupea voinovi; Clupea weileri; Clupea xenophanis; Clupea zanclea; Sardinella caudata,98.3,UNCERTAIN,,,2.0,Clupea harengus; Clupea pallasii,59.0,Clupea anomalura; Clupea arcuata; Clupea arezedi; Clupea beurardi; Clupea brevis; Clupea chinensis; Clupea chrysotaenia; Clupea curta; Clupea dentex; Clupea elongata,DROP_TO_GENUS,MEDIUM,800km from known range with 60 local congener(s),
ASV119,Eukaryota,Chordata,Actinopteri,Gadiformes,Phycidae,Phycis,Phycis blennoides,Eukaryota,Phycis blennoides,Phycis blennoides,Phycis blennoides,Phycis blennoides,283,44,239,0,,,True,True,CONFIRMED,,100.0,NO_CONGENERS,,,0.0,,0.0,,KEEP,MEDIUM,"Geographic CONFIRMED, 100.0% match (monotypic/rare genus)",Phycis blennoides
ASV120,Eukaryota,Chordata,Actinopteri,Cypriniformes,Leuciscidae,Phoxinus,Phoxinus,Eukaryota,,Phoxinus,Phoxinus 10,,,,,,,,,,,,0.0,GENUS_ONLY,Phoxinus fayollarum,97.7,11.0,Phoxinus bigerri; Phoxinus csikii; Phoxinus dragarum; Phoxinus fayollarum; Phoxinus keumkang; Phoxinus lumaireul; Phoxinus phoxinus; Phoxinus semotilus; Phoxinus septimaniae; Phoxinus steindachneri,0.0,,DROP_TO_GENUS,LOW,"Unhandled case: occ=None, db=GENUS_ONLY",
ASV121,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Eukaryota,Clupea harengus,Clupea harengus,Clupea harengus 15,Clupea harengus,3402,88,3314,0,,,True,True,CONFIRMED,,98.3,UNCERTAIN,Clupea pallasii,97.7,2.0,Clupea harengus; Clupea pallasii,59.0,Clupea anomalura; Clupea arcuata; Clupea arezedi; Clupea beurardi; Clupea brevis; Clupea chinensis; Clupea chrysotaenia; Clupea curta; Clupea dentex; Clupea elongata,DROP_TO_GENUS,LOW,Geographic CONFIRMED but missing congeners in DB - cannot validate,Clupea sp. cf. harengus
ASV122,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea,Eukaryota,,Clupea,Clupea 4,,,,,,,,,,,,0.0,GENUS_ONLY,Clupea pallasii,99.4,2.0,Clupea harengus; Clupea pallasii,0.0,,DROP_TO_GENUS,LOW,"Unhandled case: occ=None, db=GENUS_ONLY",
ASV123,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Ctenolabrus,Ctenolabrus rupestris,Eukaryota,Ctenolabrus rupestris,Ctenolabrus rupestris,Ctenolabrus rupestris 7,Ctenolabrus rupestris,688,113,575,0,,,True,True,CONFIRMED,,98.8,UNCERTAIN,,,1.0,Ctenolabrus rupestris,1.0,Ctenolabrus knoxi,DROP_TO_GENUS,LOW,Geographic CONFIRMED but missing congeners in DB - cannot validate,Ctenolabrus sp. cf. rupestris
ASV124,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Eukaryota,Clupea harengus,Clupea harengus,Clupea harengus 16,Clupea harengus,3402,88,3314,0,,,True,True,CONFIRMED,,98.8,UNCERTAIN,Clupea pallasii,98.3,2.0,Clupea harengus; Clupea pallasii,59.0,Clupea anomalura; Clupea arcuata; Clupea arezedi; Clupea beurardi; Clupea brevis; Clupea chinensis; Clupea chrysotaenia; Clupea curta; Clupea dentex; Clupea elongata,DROP_TO_GENUS,LOW,Geographic CONFIRMED but missing congeners in DB - cannot validate,Clupea sp. cf. harengus
ASV125,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Scophthalmidae,Scophthalmus,Scophthalmus maximus,Eukaryota,Scophthalmus maximus,Scophthalmus maximus,Scophthalmus maximus,Scophthalmus maximus,19,15,4,0,,,True,True,CONFIRMED,,100.0,CONFIDENT,Scophthalmus rhombus,95.9,3.0,Scophthalmus aquosus; Scophthalmus maximus; Scophthalmus rhombus,19.0,Psetta rhombea; Rhombus argentipinnis; Rhombus bourbonensis; Rhombus candidissimus; Rhombus crenulatus; Rhombus cristatus; Rhombus diaphanus; Rhombus fitzingerii; Rhombus irroratus; Rhombus minimus,KEEP,HIGH,Geographic CONFIRMED + sequence match (100.0%),Scophthalmus maximus
ASV126,Eukaryota,Chordata,Actinopteri,Gadiformes,Lotidae,Molva,Molva molva,Eukaryota,Molva molva,Molva molva,Molva molva 4,Molva molva,584,156,428,0,,,True,True,CONFIRMED,,100.0,CONFIDENT,Molva dypterygia,95.9,3.0,Molva dypterygia; Molva macrophthalma; Molva molva,3.0,Molva dubia; Molva huntia; Molva palaeomorpha,KEEP,HIGH,Geographic CONFIRMED + sequence match (100.0%),Molva molva
ASV127,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Eukaryota,Clupea harengus,Clupea harengus,Clupea harengus 17,Clupea harengus,3402,88,3314,0,,,True,True,CONFIRMED,,98.8,UNCERTAIN,Clupea pallasii,98.3,2.0,Clupea harengus; Clupea pallasii,59.0,Clupea anomalura; Clupea arcuata; Clupea arezedi; Clupea beurardi; Clupea brevis; Clupea chinensis; Clupea chrysotaenia; Clupea curta; Clupea dentex; Clupea elongata,DROP_TO_GENUS,LOW,Geographic CONFIRMED but missing congeners in DB - cannot validate,Clupea sp. cf. harengus
ASV128,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Eukaryota,Clupea harengus,Clupea harengus,Clupea harengus 18,Clupea harengus,3402,88,3314,0,,,True,True,CONFIRMED,,99.4,UNCERTAIN,Clupea pallasii,98.8,2.0,Clupea harengus; Clupea pallasii,59.0,Clupea anomalura; Clupea arcuata; Clupea arezedi; Clupea beurardi; Clupea brevis; Clupea chinensis; Clupea chrysotaenia; Clupea curta; Clupea dentex; Clupea elongata,DROP_TO_GENUS,LOW,Geographic CONFIRMED but missing congeners in DB - cannot validate,Clupea sp. cf. harengus
ASV129,Eukaryota,Chordata,Actinopteri,Cypriniformes,Leuciscidae,Phoxinus,Phoxinus,Eukaryota,,Phoxinus,Phoxinus 11,,,,,,,,,,,,0.0,GENUS_ONLY,Phoxinus bigerri,98.3,11.0,Phoxinus bigerri; Phoxinus csikii; Phoxinus dragarum; Phoxinus fayollarum; Phoxinus keumkang; Phoxinus lumaireul; Phoxinus phoxinus; Phoxinus semotilus; Phoxinus septimaniae; Phoxinus steindachneri,0.0,,DROP_TO_GENUS,LOW,"Unhandled case: occ=None, db=GENUS_ONLY",
ASV130,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Eukaryota,Clupea pallasii,Clupea pallasii,Clupea pallasii 5,Clupea pallasii,6,6,0,799.967717003177,,,False,False,POSSIBLE,Clupea anomalura; Clupea arcuata; Clupea arezedi; Clupea beurardi; Clupea brevis; Clupea chinensis; Clupea chrysotaenia; Clupea curta; Clupea dentex; Clupea elongata; Clupea fimbriata; Clupea gasterostea; Clupea gigantea; Clupea guestfalica; Clupea hadleyi; Clupea harengus; Clupea ignota; Clupea inermis; Clupea inflata; Clupea laccia; Clupea longimana; Clupea macrocephala; Clupea macrochira; Clupea macropthalma; Clupea macroura; Clupea manulensis; Clupea marisalbi; Clupea megapteryx; Clupea melastoma; Clupea membras; Clupea montevideo; Clupea opisthopteryx; Clupea papalina; Clupea piltschardus; Clupea polyachanthina; Clupea rex; Clupea sardinites; Clupea saulos; Clupea scheuchseri; Clupea smaragdina; Clupea spec; Clupea sulcata; Clupea suworowi; Clupea tenuissima; Clupea testis; Clupea tiejei; Clupea tobarana; Clupea trigintaoctoradiata; Clupea trinacridis; Clupea ventricosa; Clupea verticalis; Clupea vigintiquiniradiata; Clupea vigintiradiata; Clupea vittargentea; Clupea vittata; Clupea voinovi; Clupea weileri; Clupea xenophanis; Clupea zanclea; Sardinella caudata,100.0,CONFIDENT,,,2.0,Clupea harengus; Clupea pallasii,59.0,Clupea anomalura; Clupea arcuata; Clupea arezedi; Clupea beurardi; Clupea brevis; Clupea chinensis; Clupea chrysotaenia; Clupea curta; Clupea dentex; Clupea elongata,DROP_TO_GENUS,MEDIUM,800km from known range with 60 local congener(s),
ASV131,Eukaryota,Chordata,Mammalia,Artiodactyla,Phocoenidae,Phocoena,Phocoena phocoena,Eukaryota,Phocoena phocoena,Phocoena phocoena,Phocoena phocoena,Phocoena phocoena,2097,1938,159,0,,,True,True,CONFIRMED,,99.4,CONFIDENT,Phocoena sinus,95.3,4.0,Phocoena dioptrica; Phocoena phocoena; Phocoena sinus; Phocoena spinipinnis,0.0,,KEEP,HIGH,Geographic CONFIRMED + sequence match (99.4%),Phocoena phocoena
ASV132,Eukaryota,Chordata,Actinopteri,Gobiiformes,Gobiidae,Pomatoschistus,Pomatoschistus pictus,Eukaryota,Pomatoschistus pictus,Pomatoschistus pictus,Pomatoschistus pictus 2,Pomatoschistus pictus,19,18,1,0,,,True,True,CONFIRMED,,99.4,UNCERTAIN,Pomatoschistus minutus,95.3,8.0,Pomatoschistus knerii; Pomatoschistus lozanoi; Pomatoschistus marmoratus; Pomatoschistus microps; Pomatoschistus minutus; Pomatoschistus norvegicus; Pomatoschistus pictus; Pomatoschistus quagga,8.0,Pomatoschistus anatoliae; Pomatoschistus bacescui; Pomatoschistus bathi; Pomatoschistus bunyatovi; Pomatoschistus canestrinii; Pomatoschistus montenegrensis; Pomatoschistus nanus; Pomatoschistus tortonesei,DROP_TO_GENUS,LOW,Geographic CONFIRMED but missing congeners in DB - cannot validate,Pomatoschistus sp. cf. pictus
ASV133,Eukaryota,Chordata,Actinopteri,Perciformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,Eukaryota,Gasterosteus aculeatus,Gasterosteus aculeatus,Gasterosteus aculeatus 4,Gasterosteus aculeatus,1341,1335,6,0,,,True,True,CONFIRMED,,99.4,UNCERTAIN,Gasterosteus gymnurus,99.4,4.0,Gasterosteus aculeatus; Gasterosteus gymnurus; Gasterosteus nipponicus; Gasterosteus wheatlandi,21.0,Gasterosteus acanthias; Gasterosteus apeltes; Gasterosteus atherinus; Gasterosteus biaculeatus; Gasterosteus carolinensis; Gasterosteus columbarius; Gasterosteus crenobiontus; Gasterosteus glaber; Gasterosteus glaucus; Gasterosteus islandicus,DROP_TO_GENUS,LOW,Geographic CONFIRMED but missing congeners in DB - cannot validate,Gasterosteus sp. cf. aculeatus
ASV134,Eukaryota,Chordata,Actinopteri,Perciformes,Cyclopteridae,Cyclopterus,Cyclopterus lumpus,Eukaryota,Cyclopterus lumpus,Cyclopterus lumpus,Cyclopterus lumpus,Cyclopterus lumpus,396,84,312,0,,,True,True,CONFIRMED,,100.0,CONFIDENT,,,1.0,Cyclopterus lumpus,6.0,Cyclopterus gelatinosus; Cyclopterus montacuti; Cyclopterus musculus; Cyclopterus pinnulatus; Cyclopterus rarior; Cyclopterus trifoliatus,KEEP,HIGH,Geographic CONFIRMED + sequence match (100.0%),Cyclopterus lumpus
ASV135,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salvelinus,Salvelinus curilus,Eukaryota,Salvelinus curilus,Salvelinus curilus,Salvelinus curilus 2,Salvelinus curilus,182,118,64,3592.6354072858476,63.7261,-68.5156,False,False,DOUBTFUL,Salvelinus agassizii; Salvelinus albus; Salvelinus alpinus; Salvelinus anaktuvukensis; Salvelinus andriashevi; Salvelinus angustus; Salvelinus boganidae; Salvelinus colii; Salvelinus confluentus; Salvelinus czerskii; Salvelinus drjagini; Salvelinus elgyticus; Salvelinus evasus; Salvelinus faroensis; Salvelinus fimbriatus; Salvelinus fontinalis; Salvelinus gracillimus; Salvelinus grayi; Salvelinus gritzenkoi; Salvelinus inframundus; Salvelinus jacuticus; Salvelinus japonicus; Salvelinus killinensis; Salvelinus kingi; Salvelinus krogiusae; Salvelinus kronocius; Salvelinus kuznetzovi; Salvelinus lepechini; Salvelinus leucomaenis; Salvelinus levanidovi; Salvelinus lonsdalii; Salvelinus mallochi; Salvelinus malma; Salvelinus maxillaris; Salvelinus multidentatus; Salvelinus murta; Salvelinus namaycush; Salvelinus neiva; Salvelinus neocomensis; Salvelinus obtusus; Salvelinus perisii; Salvelinus profundus; Salvelinus salvelinoinsularis; Salvelinus schmidti; Salvelinus struanensis; Salvelinus taimyricus; Salvelinus taranetzi; Salvelinus thingvallensis; Salvelinus tolmachoffi; Salvelinus umbla; Salvelinus vasiljevae; Salvelinus willoughbii; Salvelinus youngeri,99.4,UNCERTAIN,Salvelinus drjagini,99.4,18.0,Salvelinus albus; Salvelinus alpinus; Salvelinus boganidae; Salvelinus confluentus; Salvelinus curilus; Salvelinus drjagini; Salvelinus elgyticus; Salvelinus fontinalis; Salvelinus kronocius; Salvelinus kuznetzovi,36.0,Salvelinus agassizii; Salvelinus anaktuvukensis; Salvelinus andriashevi; Salvelinus angustus; Salvelinus colii; Salvelinus czerskii; Salvelinus evasus; Salvelinus faroensis; Salvelinus fimbriatus; Salvelinus gracillimus,DROP_TO_GENUS,HIGH,3593km away; local congener(s) match equally - likely local species,
ASV136,Eukaryota,Chordata,Mammalia,Artiodactyla,Cervidae,Alces,Alces alces,Eukaryota,Alces alces,Alces alces,Alces alces,Alces alces,8777,8777,0,0,,,True,True,CONFIRMED,,99.4,UNCERTAIN,,,1.0,Alces alces,2.0,Alces americanus; Alces machlis,DROP_TO_GENUS,LOW,Geographic CONFIRMED but missing congeners in DB - cannot validate,Alces sp. cf. alces
ASV137,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Eukaryota,Clupea harengus,Clupea harengus,Clupea harengus 19,Clupea harengus,3402,88,3314,0,,,True,True,CONFIRMED,,98.3,UNCERTAIN,Clupea pallasii,98.3,2.0,Clupea harengus; Clupea pallasii,59.0,Clupea anomalura; Clupea arcuata; Clupea arezedi; Clupea beurardi; Clupea brevis; Clupea chinensis; Clupea chrysotaenia; Clupea curta; Clupea dentex; Clupea elongata,DROP_TO_GENUS,LOW,Geographic CONFIRMED but missing congeners in DB - cannot validate,Clupea sp. cf. harengus
ASV138,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Eukaryota,Clupea harengus,Clupea harengus,Clupea harengus 20,Clupea harengus,3402,88,3314,0,,,True,True,CONFIRMED,,98.8,UNCERTAIN,Clupea pallasii,98.8,2.0,Clupea harengus; Clupea pallasii,59.0,Clupea anomalura; Clupea arcuata; Clupea arezedi; Clupea beurardi; Clupea brevis; Clupea chinensis; Clupea chrysotaenia; Clupea curta; Clupea dentex; Clupea elongata,DROP_TO_GENUS,LOW,Geographic CONFIRMED but missing congeners in DB - cannot validate,Clupea sp. cf. harengus
ASV139,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Platichthys,Platichthys stellatus,Eukaryota,Platichthys stellatus,Platichthys stellatus,Platichthys stellatus 2,Platichthys stellatus,19811,12106,7705,4573.044400674077,68.16666666666667,-108.833333333333,False,False,DOUBTFUL,Passer oculatus; Platichthys flesus; Platichthys solemdali,99.4,UNCERTAIN,,,2.0,Platichthys flesus; Platichthys stellatus,2.0,Passer oculatus; Platichthys solemdali,DROP_TO_GENUS,MEDIUM,4573km from known range with 3 local congener(s),
ASV140,Eukaryota,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Eukaryota,Canis lupus,Canis lupus,Canis lupus 1,Canis lupus,2181,2181,0,0,,,True,True,CONFIRMED,,100.0,CONFIDENT,Canis lupaster,98.2,7.0,Canis adustus; Canis aureus; Canis latrans; Canis lupaster; Canis lupus; Canis mesomelas; Canis simensis,56.0,Canis accitanus; Canis africanus; Canis alopex; Canis antarcticus; Canis antarticus; Canis anthus; Canis antonii; Canis apolloniensis; Canis armbrusteri; Canis arnensis,KEEP,HIGH,Geographic CONFIRMED + sequence match (100.0%),Canis lupus
ASV141,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Ctenolabrus,Ctenolabrus rupestris,Eukaryota,Ctenolabrus rupestris,Ctenolabrus rupestris,Ctenolabrus rupestris 8,Ctenolabrus rupestris,688,113,575,0,,,True,True,CONFIRMED,,98.2,UNCERTAIN,,,1.0,Ctenolabrus rupestris,1.0,Ctenolabrus knoxi,DROP_TO_GENUS,LOW,Geographic CONFIRMED but missing congeners in DB - cannot validate,Ctenolabrus sp. cf. rupestris
ASV142,Eukaryota,Chordata,Actinopteri,Perciformes,Pholidae,Pholis,Pholis gunnellus,Eukaryota,Pholis gunnellus,Pholis gunnellus,Pholis gunnellus 2,Pholis gunnellus,102,83,19,0,,,True,True,CONFIRMED,,99.4,UNCERTAIN,Pholis crassispina,98.2,9.0,Pholis clemensi; Pholis crassispina; Pholis fangi; Pholis fasciata; Pholis gunnellus; Pholis laeta; Pholis nebulosa; Pholis ornata; Pholis picta,6.0,Centronotus islandicus; Gunnellus crassispina; Gunnellus ruberrimus; Gunnellus vulgaris; Pholis nea; Pholis schultzi,DROP_TO_GENUS,LOW,Geographic CONFIRMED but missing congeners in DB - cannot validate,Pholis sp. cf. gunnellus
ASV143,Eukaryota,Chordata,Aves,Charadriiformes,Laridae,Larus,Larus,Eukaryota,,Larus,Larus,,,,,,,,,,,,0.0,GENUS_ONLY,Larus argentatus,100.0,13.0,Larus argentatus; Larus brachyrhynchus; Larus canus; Larus crassirostris; Larus delawarensis; Larus dominicanus; Larus glaucoides; Larus heermanni; Larus hyperboreus; Larus marinus,0.0,,DROP_TO_GENUS,LOW,"Unhandled case: occ=None, db=GENUS_ONLY",
ASV144,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Pleuronectidae,Pleuronectidae,Eukaryota,,Pleuronectidae,Pleuronectidae 2,,,,,,,,,,,,,GENUS_ONLY_NO_REF,,,,,,,DROP_TO_GENUS,LOW,"Unhandled case: occ=None, db=GENUS_ONLY_NO_REF",
ASV145,Eukaryota,Chordata,Actinopteri,Uranoscopiformes,Ammodytidae,Ammodytes,Ammodytes personatus,Eukaryota,Ammodytes personatus,Ammodytes personatus,Ammodytes personatus,Ammodytes personatus,16764,8677,8087,6217.087447953048,57.722467,-136.414432,False,False,DOUBTFUL,,99.4,NO_CONGENERS,,,0.0,,0.0,,DROP_TO_GENUS,HIGH,Geographic DOUBTFUL + DB NO_CONGENERS,
ASV146,Eukaryota,Chordata,Actinopteri,Syngnathiformes,Callionymidae,Callionymus,Callionymus maculatus,Eukaryota,Callionymus maculatus,Callionymus maculatus,Callionymus maculatus,Callionymus maculatus,80,10,70,0,,,True,True,CONFIRMED,,100.0,CONFIDENT,Callionymus lyra,91.6,18.0,Callionymus bairdi; Callionymus belcheri; Callionymus beniteguri; Callionymus enneactis; Callionymus formosanus; Callionymus guentheri; Callionymus hindsii; Callionymus izuensis; Callionymus japonicus; Callionymus koreanus,131.0,Callionymus aagilis; Callionymus acutirostris; Callionymus admirabilis; Callionymus affinis; Callionymus afilum; Callionymus africanus; Callionymus alisae; Callionymus altipinnis; Callionymus amboina; Callionymus annulatus,KEEP,HIGH,Geographic CONFIRMED + sequence match (100.0%),Callionymus maculatus
ASV147,Eukaryota,Chordata,Actinopteri,Perciformes,Pholidae,Pholis,Pholis,Eukaryota,,Pholis,Pholis 2,,,,,,,,,,,,0.0,GENUS_ONLY,Pholis gunnellus,99.4,9.0,Pholis clemensi; Pholis crassispina; Pholis fangi; Pholis fasciata; Pholis gunnellus; Pholis laeta; Pholis nebulosa; Pholis ornata; Pholis picta,0.0,,DROP_TO_GENUS,LOW,"Unhandled case: occ=None, db=GENUS_ONLY",
